ItemNo,ItemName
CR0010,NHS NUMBER
CR0020,LOCAL PATIENT IDENTIFIER
CR1350,NHS NUMBER STATUS INDICATOR CODE
CR0100,PERSON BIRTH DATE
CR0030,ORGANISATION IDENTIFIER (CODE OF PROVIDER)
CR0370,PRIMARY DIAGNOSIS (ICD)
CR0380,TUMOUR LATERALITY
CR2030,DATE OF PRIMARY DIAGNOSIS (CLINICALLY AGREED)
CR6500,DATE OF NON PRIMARY CANCER DIAGNOSIS (CLINICALLY AGREED)
CR7100,ORIGINAL PRIMARY DIAGNOSIS (ICD)
CR6520,METASTATIC TYPE
CR1590,METASTATIC SITE
CR1550,PALLIATIVE CARE SPECIALIST SEEN INDICATOR (CANCER RECURRENCE)
CT7190,RELAPSE - METHOD OF DETECTION
CR6900,PROGRESSION (ICD)
CR6520,METASTATIC TYPE
CR1590,METASTATIC SITE
CR7200,ORIGINAL MORPHOLOGY (ICD-O-3)
CR7210,ORIGINAL MORPHOLOGY (SNOMED)
CR7010,MORPHOLOGY (ICD-O-3) TRANSFORMATION
CR7000,MORPHOLOGY (SNOMED) TRANSFORMATION
CR7030,SNOMED VERSION CURRENT (TRANSFORMATION)
CR0050,PERSON FAMILY NAME
CR0060,PERSON GIVEN NAME
CR0070,PATIENT USUAL ADDRESS (AT DIAGNOSIS)
CR0080,POSTCODE OF USUAL ADDRESS (AT DIAGNOSIS)
CR3170,PERSON STATED GENDER CODE
CR6840,PERSON SEXUAL ORIENTATION CODE (AT DIAGNOSIS)
CR0110,GENERAL MEDICAL PRACTITIONER (SPECIFIED)
CR0120,GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION)
CR0140,PERSON FAMILY NAME (AT BIRTH)
CR0150,ETHNIC CATEGORY
CR1600,SOURCE OF REFERRAL FOR OUT-PATIENTS
CR0230,DATE FIRST SEEN
CR7300,PROFESSIONAL REGISTRATION ISSUER CODE - CONSULTANT (FIRST SEEN)
CR7310,PROFESSIONAL REGISTRATION ENTRY IDENTIFIER - CONSULTANT (FIRST SEEN)
CR1410,ORGANISATION SITE IDENTIFIER (PROVIDER FIRST SEEN)
CR1360,DATE FIRST SEEN (CANCER SPECIALIST)
CR1400,ORGANISATION SITE IDENTIFIER (PROVIDER FIRST CANCER SPECIALIST)
CR0270,CANCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS(PRIMARY)
CR2000,CANCER SYMPTOMS FIRST NOTED DATE
CR0300,SOURCE OF REFERRAL FOR NON PRIMARY CANCER PATHWAY
CR7400,DATE FIRST SEEN- NON PRIMARY CANCER PATHWAY
CR7410,ORGANISATION SITE IDENTIFIER (PROVIDER FIRST SEEN- NON PRIMARY CANCER PATHWAY)
CR0270,CANCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS(NON PRIMARY)
CR0310,ORGANISATION SITE IDENTIFIER (OF IMAGING)
CR0320,PROCEDURE DATE (CANCER IMAGING)
CR6780,IMAGING OUTCOME
CR1610,IMAGING CODE (NICIP)
CR3110,IMAGING CODE (SNOMED CT)
CR0330,CANCER IMAGING MODALITY
CR0340,IMAGING ANATOMICAL SITE
CR3000,ANATOMICAL SIDE (IMAGING)
CR0160,IMAGING REPORT TEXT
CR0350,LESION SIZE (RADIOLOGICAL)
CR7500,ORGANISATION SITE IDENTIFIER (DIAGNOSTIC PROCEDURE)
CR7510,DIAGNOSTIC PROCEDURE DATE
CR7520,DIAGNOSTIC PROCEDURE (OPCS)
CR7530,DIAGNOSTIC PROCEDURE (SNOMED CT)
CR7540,SENTINEL NODE BIOPSY OUTCOME
CR6230,ORGANISATION SITE IDENTIFIER (OF DIAGNOSIS)
