data_element,group,status,format_length,national_codes,link
COSDS SUBMISSION IDENTIFIER,Core,M,an36,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/cosds_submission_identifier_de.asp?shownav=0
ORGANISATION IDENTIFIER (CODE OF SUBMITTING ORGANISATION),Core,M,min an3 max an6,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_identifier_(code_of_submitting_organisation)_de.asp?shownav=0
COSDS SUBMISSION RECORD COUNT,Core,M,min n1 max n7,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/cosds_submission_record_count_de.asp?shownav=0
REPORTING PERIOD START DATE,Core,M,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/reporting_period_start_date_de.asp?shownav=0
REPORTING PERIOD END DATE,Core,M,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/reporting_period_end_date_de.asp?shownav=0
DATE AND TIME DATA SET CREATED,Core,M,See DATE AND TIME ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/date_and_time_data_set_created_de.asp?shownav=0
COSDS UNIQUE IDENTIFIER,Core,M,an36,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/cosds_unique_identifier_de.asp?shownav=0
NHS NUMBER,Core,M,n10,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nhs/nhs_number_de.asp?shownav=0
LOCAL PATIENT IDENTIFIER (EXTENDED),Core,M,max an20,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/li/local_patient_identifier_(extended)_de.asp?shownav=0
NHS NUMBER STATUS INDICATOR CODE,Core,M,an2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nhs/nhs_number_status_indicator_code_de.asp?shownav=0
PERSON BIRTH DATE,Core,R,See DATE ,PEBD,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_birth_date_de.asp?shownav=0
ORGANISATION IDENTIFIER (CODE OF PROVIDER),Core,M,min an3 max an6,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_identifier_(code_of_provider)_de.asp?shownav=0
PRIMARY DIAGNOSIS (ICD),Core,M,See ICD-10 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_diagnosis_(icd)_de.asp?shownav=0
TUMOUR LATERALITY,Core,M,an1,See TUMOUR OR LESION LATERALITY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_laterality_de.asp?shownav=0
DATE OF PRIMARY CANCER DIAGNOSIS (CLINICALLY AGREED),Core,M,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/date_of_primary_cancer_diagnosis_(clinically_agreed)_de.asp?shownav=0
DATE OF NON PRIMARY CANCER DIAGNOSIS (CLINICALLY AGREED),Core,M,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/date_of_non_primary_cancer_diagnosis_(clinically_agreed)_de.asp?shownav=0
NON PRIMARY CANCER PATHWAY TYPE,Core,R,an2,See NON PRIMARY CANCER PATHWAY TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/no/non_primary_cancer_pathway_type_de.asp?shownav=0
CANCER RECURRENCE OR METASTATIC DISEASE TYPE,Core,R,an2,See CANCER RECURRENCE OR METASTATIC DISEASE TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_recurrence_or_metastatic_disease_type_de.asp?shownav=0
METASTATIC SITE,Core,R,an2,See METASTATIC SITE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/men/metastatic%20site_de.asp?shownav=0
CANCER PROGRESSION (ICD),Core,R,See ICD-10 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_progression_(icd)_de.asp?shownav=0
PERSON FAMILY NAME,Core,R,max an35,PSUR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_family_name_de.asp?shownav=0
PERSON GIVEN NAME,Core,R,max an35,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_given_name_de.asp?shownav=0
PATIENT USUAL ADDRESS (AT DIAGNOSIS),Core,R,an175 (5 lines each an35),"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/patient_usual_address_(at_diagnosis)_de.asp?shownav=0
